brutOK,err,tH,tDC,errH,tDW,tBB,n
True,True,0.08393067371218842,364.5193891910215,0.011608623548922056,5818.476935150102,1282.3713012039661,27
True,True,0.08555346171006098,350.96884455664883,0.007054673721340388,4691.931555047631,112.31523485011644,27
True,True,0.08345102625233787,275.9865645526184,0.0,6576.352603035048,2240.451151970774,27
True,True,0.08454885728692871,635.1259050425142,0.0,7427.5345399510115,175.59146997518837,27
True,True,0.08239767534816973,413.62922832680243,0.0,8048.906079027802,1029.8326695337892,27
True,True,0.08323840187988811,404.7437836804117,0.0,7230.871770065278,691.1744185490534,27
True,True,0.08464038843458965,487.1414490044117,0.0,8256.458044052124,718.4432689100504,27
True,True,0.08206012443402713,439.2812571953982,0.0017452006980802793,6990.709197008982,552.1249317098409,27
True,True,0.08352446670098523,581.6233934601769,0.0016474464579901153,8800.096787977964,127.99304055183062,27
True,True,0.08446702481913902,345.10014013254215,0.003745318352059925,5823.320565046743,147.90915140571695,27
True,True,0.08380271838660565,471.49356598965824,0.00946969696969697,8471.751234959811,656.957705039531,27
True,True,0.08497596939228229,585.2678599767387,0.0,7811.727266991511,748.7403195118532,27
True,True,0.08261183220984226,344.0294819884002,0.01609657947686117,7362.316204002127,3078.3294178545475,27
True,True,0.0838750096961137,764.9014383399239,0.020654044750430294,8904.100863961503,2303.913270123303,27
True,True,0.0833175793806314,694.1173553156356,0.0,10527.999622980133,185.365666821599,27
True,True,0.08343392242839551,359.3671726606165,0.020224719101123594,8240.225998917595,445.4072583466768,27
True,True,0.08324542656592174,507.41686549736187,0.022587268993839837,7184.0982171706855,530.5940444814041,27
True,True,0.08475357491553791,343.10689798024083,0.03365384615384615,6177.543430123478,579.3396924855188,27
True,True,0.08206645797139522,225.37217090245,0.004032258064516129,5722.586008021608,3308.3929249551147,27
True,True,0.08388025728854906,500.95503323245794,0.0,8197.936271084473,52.58776400005445,27
True,True,0.08364984484415727,398.05905214355636,0.0015060240963855422,6479.633017908782,676.5620769777646,27
True,True,0.0832191712274205,310.6514037644956,0.01026694045174538,7033.608054043725,146.19618883499732,27
True,True,0.08332188741640342,432.17615401372313,0.0,6206.470341887325,202.33271079551844,27
True,True,0.08374949262849585,388.34131866072613,0.004219409282700422,5539.20055902563,200.76742927035826,27
True,True,0.08482397937183452,411.0911473399028,0.008517887563884156,6164.626582991332,260.32273384875486,27
True,True,0.08380125481265174,417.5497383500139,0.0,7009.751312900335,1271.647254936397,27
True,True,0.08250015782711648,525.9045827551745,0.009900990099009901,9299.934804905206,411.26821155194193,27
True,True,0.08508739243871519,209.40585536035624,0.0,4454.982633003965,385.78598216796917,27
True,True,0.08254403019799468,364.89018402062356,0.001838235294117647,8027.493811910972,1072.028148570098,27
True,True,0.08447734807277749,394.48679331690073,0.0,7402.077261824161,890.3961435426027,27
True,True,0.08550637996032887,330.1455374208412,0.0,4868.727711029351,77.13375148294423,27
True,True,0.08238054468580819,608.879707287997,0.0019880715705765406,8908.91747083515,181.04252001891533,27
True,True,0.0848668688509602,727.8476430413624,0.010830324909747292,10691.307194065303,341.00316596838337,27
True,True,0.08255167801999687,400.75693900386494,0.041121495327102804,7638.35170911625,1306.1020330060273,27
True,True,0.08443507620680904,428.06393220089376,0.019927536231884056,6505.937539972365,253.28522831356776,27
True,True,0.08336889836051221,456.10124580562115,0.0,6551.69133702293,56.253494717003335,27
True,True,0.08318006669071094,641.2961126770824,0.01232394366197183,13505.071736173704,3040.237157139927,27
True,True,0.08593943387709255,298.0237106385175,0.018604651162790697,4399.586642859504,280.4138940118719,27
True,True,0.08438170466260436,546.4812825084664,0.0033112582781456954,8611.71144596301,1368.8191380351782,27
True,True,0.08328705787882704,363.82607847917825,0.006134969325153374,7189.954370027408,152.93433282270348,27
True,True,0.08393003294851761,281.36471688048914,0.00922509225092251,5918.643334181979,744.5914146956056,27
True,True,0.08222309110513193,633.4418850019574,0.0,12572.585514048114,7298.089335905388,27
True,True,0.08249074340558517,279.92208924843,0.0,7846.705718897283,6532.57153602317,27
True,True,0.08388118610813998,381.12097365471226,0.0,6734.792948933318,777.2545656189322,27
True,True,0.08269279680521013,559.4045067555271,0.020100502512562814,7969.1165739204735,3388.6038919445127,27
True,True,0.08214051840477599,496.73646478913724,0.0,11385.962246917188,745.1179454801604,27
True,True,0.08287669527129285,430.666487198323,0.01616161616161616,7374.579644063488,322.11592122912407,27
True,True,0.08334145185940699,339.6055784209498,0.0,6583.162618800998,452.93498202227056,27
True,True,0.0837778079585405,411.8128908642878,0.0,6729.488782817498,649.727059683452,27
True,True,0.08343516377251528,565.6509877881035,0.006122448979591836,9032.376495189965,429.4550820098569,27
True,True,0.08499470358133378,331.55321097001433,0.0,6031.372943194583,375.1537564676255,27
True,True,0.08149028600283204,486.99640901759267,0.0,9040.3665099293,5517.582186963409,27
True,True,0.08510497166897006,447.5282356142998,0.021739130434782608,5744.193414924666,691.7374969925731,27
True,True,0.08395848621693745,329.1950735729188,0.0,5634.691235842183,386.30739101208746,27
True,True,0.0832119658774063,524.1684875218198,0.0,7915.367080131546,360.0238967919722,27
True,True,0.08339017765943688,351.81884657192444,0.0035971223021582736,5810.317080002278,1167.4742830218747,27
True,True,0.08271725638130376,407.53962949384004,0.0,8480.728091904894,8482.064810115844,27
True,True,0.0837134135806643,291.13023774698377,0.0,5140.166762052104,1253.5032231826335,27
True,True,0.08345603651629029,471.42745363526046,0.0,5697.958483127877,424.29599503520876,27
True,True,0.08333998586732151,679.9648060308149,0.0,9638.282550033182,107.74545336607844,27
True,True,0.08164469887274722,496.41042379662395,0.0,9953.24920793064,1925.6208029109985,27
True,True,0.08471860320576503,580.1245777402073,0.0,5996.600175043568,45.82260221165294,27
True,True,0.08400416640162596,383.790562977083,0.0,6275.527152931318,1291.260323021561,27
True,True,0.08546098957636993,420.08987041190267,0.0034602076124567475,5826.302682980895,112.43199694025166,27
True,True,0.08281362328860481,630.8125469367951,0.008741258741258742,10183.827758999541,2848.4912181738764,27
True,True,0.08358498379990047,329.69598645078287,0.0,5703.077893005684,121.40650429333058,27
True,True,0.0834364804512141,736.146320666497,0.0031446540880503146,7125.527168856934,187.579925560082,27
True,True,0.08516540218636486,549.6014745440334,0.010869565217391304,6484.617282869294,805.5672619957477,27
True,True,0.08614677563610214,426.0092268232256,0.0,5739.794181194156,49.686460184272036,27
True,True,0.08401347285953005,424.9646664131433,0.0016750418760469012,6688.246789155528,76.8530195443115,27
True,True,0.08253706168055801,416.94358685829985,0.0,9051.883557112888,5699.459108058363,27
True,True,0.08390329760162776,385.50121333294857,0.007168458781362007,7289.240442914888,4518.4226899873465,27
True,True,0.08564979737291967,303.0545075016562,0.008488964346349746,5059.9819829221815,328.00450631683424,27
True,True,0.08420326479243963,596.6819460154511,0.02329450915141431,7553.848521085456,79.14031716063619,27
True,True,0.0850483211703076,516.4849872235209,0.019569471624266144,9143.496389966458,432.5412753193329,27
True,True,0.08265995327782133,313.6824004219047,0.0019083969465648854,6554.040811024606,514.5081820082851,27
