brutOK,errH,tH,err,n,tBB,tDW,tDC
True,0.0,0.08335392222224305,True,27,365.2206720318645,342.43208479269276,451.08340663666075
True,0.0,0.08327862730787595,True,27,1534.2251629335806,329.6019899348418,603.4820383647457
True,0.0,0.0834226019279102,True,27,116.24659190420061,321.06885154110694,585.9614751243498
True,0.02152317880794702,0.08343156131877583,True,27,667.87306900369,204.7083237072608,415.71198776364326
True,0.008,0.08403618535797903,True,27,1585.1376100132863,185.9165616154384,354.485598642246
True,0.016245487364620937,0.08346700218996993,True,27,2920.6905069295317,381.7812227644026,621.7879149771761
True,0.013761467889908258,0.08304453779926407,True,27,1642.1296499902382,337.077994581445,455.5236749118194
True,0.0019342359767891683,0.0846258898126258,True,27,3240.4793919995427,422.534226630391,697.3533757430102
True,0.0035398230088495575,0.08325554892287154,True,27,1374.927130062133,333.2191755762324,544.976429004843
True,0.0,0.08277070341116584,True,27,1125.8482959819958,349.84012914355844,557.1344745112583
True,0.009940357852882704,0.08222495609280711,True,27,1535.5656765168533,269.99378627321374,456.56934801954776
True,0.001893939393939394,0.08523302411594737,True,27,198.2615590942177,341.2165079332356,525.9716778786647
True,0.02292768959435626,0.08467989091828884,True,27,1799.231881974265,195.34135663881898,323.61457746786374
True,0.00796812749003984,0.08509674756357241,True,27,409.10931578837335,348.87221522097076,600.2087486267556
True,0.0,0.08363092309091637,True,27,942.0186560018919,276.76380706381883,452.396109001711
True,0.0,0.08292026117205521,True,27,267.5766435503546,292.5855515880839,527.8465043132504
True,0.004123711340206186,0.0851224658670907,True,27,132.31088694010396,327.2023758695771,455.2212459035218
True,0.011009174311926606,0.08286790618993219,True,27,527.0355678318689,227.00478000167226,402.66449774693075
True,0.0,0.08447960888696741,True,27,852.2049736542007,324.3857741355896,571.9829061126802
True,0.016563146997929608,0.08452465276135086,True,27,845.5016432950894,278.6137123510022,419.57074526528066
True,0.005758157389635317,0.08336197617102328,True,27,3677.243323996663,342.9789936303028,504.1572949849069
True,0.0,0.08338419571780277,True,27,171.27328586454195,276.5780547245716,460.29603402130306
True,0.0,0.08429456316933842,True,27,561.7471663863398,217.9967412322929,416.765834628181
True,0.009505703422053232,0.08251046489905825,True,27,393.1077291723341,427.1451532629065,588.9707628812175
True,0.0,0.0818254693290324,True,27,6248.911669012159,340.9933937281104,584.3564003880601
True,0.0,0.08480022267720319,True,27,226.83125076582655,256.68002678522544,397.1100859926082
True,0.008368200836820083,0.08277342590807316,True,27,1495.5331550445408,425.036872102117,561.1608567414805
True,0.0,0.08277447592599745,True,27,194.73558930022753,192.52903232350945,319.71568088047206
True,0.0,0.08389960256820586,True,27,306.98416611994617,259.23891184165285,417.07317399877036
True,0.0,0.08419348697867218,True,27,4952.627260005102,284.44141423439277,465.0236574932933
True,0.008460236886632826,0.08307584553992577,True,27,449.8730902094394,342.1179397098188,656.6259062715939
True,0.01263157894736842,0.08398790018655446,True,27,307.9020387958735,345.68804329527273,477.4672966916114
True,0.0,0.08355825471552022,True,27,238.84927817354244,361.7532815282735,455.549697810784
True,0.0,0.08386622572258644,True,27,639.949492784217,329.4598461283992,437.51007390462536
True,0.0,0.08186621473356231,True,27,3736.819899873808,312.6005539981028,468.0648457026109
True,0.003616636528028933,0.0835996275242623,True,27,1689.4189914455637,310.2551725023659,579.0602322376799
True,0.01393188854489164,0.08468165488280097,True,27,783.2246858160943,231.7663866228291,419.539517828856
True,0.010526315789473684,0.08409047867606854,True,27,2924.5851640589535,252.09193936500114,386.2175182439387
True,0.005802707930367505,0.08382422016558509,True,27,726.3051069807261,236.27634976236595,372.5476854731544
True,0.0017793594306049821,0.08420827850385534,True,27,767.8173099799702,350.4698472929054,672.3255497137351
True,0.0,0.08313315940575268,True,27,1135.1618610012035,277.5989857165971,423.4381284437735
True,0.0,0.0835865568363912,True,27,82.43777000290505,245.17758605070412,421.91060619767416
True,0.0,0.08308342939418122,True,27,251.22744162217714,276.1647006134606,478.8846973096952
True,0.002036659877800407,0.08367679323845337,True,27,1702.7640944579616,335.8011664323775,472.53952401224524
True,0.012411347517730497,0.0851504966450795,True,27,8843.23159395717,289.6802297601586,575.0359444937203
True,0.0,0.08405774778405611,True,27,2690.137593075633,232.29375496018855,468.59762461390346
True,0.008438818565400843,0.0832587297337447,True,27,1120.978539654364,288.94876424387536,507.8805504470236
True,0.008503401360544218,0.08415757724045561,True,27,384.2128454190161,201.6103143299309,409.02652267444256
True,0.011185682326621925,0.08421735749423008,True,27,373.36846119724214,404.7908293432556,497.13974131736904
True,0.0022988505747126436,0.08536939334830358,True,27,549.7244716389105,214.85297399869359,324.5030897359053
True,0.01054481546572935,0.08425209054508677,True,27,2689.1617991495878,328.7842348062744,532.0006638972295
True,0.0018248175182481751,0.08459090262184754,True,27,2700.67993295379,370.5101580753063,552.5042881102612
True,0.012121212121212121,0.08354253062745376,True,27,2869.496087078005,272.0725744471161,431.83765810152346
True,0.0,0.0833323884602536,True,27,303.0076073948294,476.10848918557167,600.0024091335945
True,0.003436426116838488,0.08495904159682473,True,27,1442.760934936814,324.51731873055303,605.7642258820124
True,0.010471204188481676,0.08465128023541592,True,27,1320.8783769514412,274.56731778673,485.8232212020084
True,0.00392156862745098,0.08371401122210743,True,27,5754.8080929555,290.4080192366725,509.3637009979122
True,0.0,0.08396228028800787,True,27,3729.3019141070545,420.79741118306464,669.9882153022502
True,0.0,0.08379859764185928,True,27,245.6972746294923,349.0239325079269,534.5292800209589
True,0.0,0.08399094970039246,True,27,3630.527826026082,352.7837997867859,432.72798472422767
True,0.005940594059405941,0.08415366648444997,True,27,2138.5301399277523,243.10836599906906,351.32351657375693
True,0.026217228464419477,0.08481260985607345,True,27,5187.813362106681,372.22534054532076,628.1539497098753
True,0.0021413276231263384,0.08371324017241083,True,27,1698.861506418325,260.3464026347195,427.65558299354535
True,0.0,0.08419133296630311,True,27,1278.8458020659164,256.3172575257915,456.96550770662725
True,0.0,0.08285869862685888,True,27,3683.9493580628186,500.33100722875037,671.2677147172924
True,0.007407407407407408,0.08408286406109089,True,27,788.6163492221385,250.80738732542258,416.51463518307236
True,0.0,0.0855842262598296,True,27,145.80388175090775,251.2178081087768,431.0343528208746
True,0.002079002079002079,0.08414669148293975,True,27,886.0243440140039,276.26518916804343,524.824257241562
True,0.0064516129032258064,0.08384204550362381,True,27,4479.860598919913,389.5525353339811,660.1158098783344
True,0.0,0.08449067795610132,True,27,583.3284400093058,237.44799451725112,366.8293239226422
True,0.007380073800738007,0.08461757340673433,True,27,3403.5604768432677,399.8979303287342,535.5926408794604
