brutOK,errH,err,n,tBB,tH,tDC,tDW
True,0.0,True,27,122.02479788923965,0.0825863652488892,356.75487727192893,451.79523662663996
True,0.0,True,27,116.34676437824965,0.08436685930298671,315.43664444637085,435.904649598524
True,0.00881057268722467,True,27,215.9432352689857,0.08460671837642122,202.46020015717173,317.4115445664419
True,0.01092896174863388,True,27,583.9242027141154,0.08299991226852434,473.9994782023132,541.0732520394959
True,0.031496062992125984,True,27,1811.5697130560875,0.08344692850954977,402.08184517299134,530.2967785391957
True,0.008048289738430584,True,27,903.8528869859874,0.08273083010138299,481.7090700380504,796.3911169984689
True,0.0,True,27,1339.5588009152561,0.08268056117568658,539.4774024607614,544.3521444685757
True,0.0039447731755424065,True,27,519.022180310761,0.08491082393612387,409.15941082251567,573.8699500216171
True,0.0036900369003690036,True,27,1535.151058807969,0.08210259346824475,336.8793142892952,476.9101910293102
True,0.0149812734082397,True,27,1774.4517831597477,0.084051681406353,396.1635906792556,543.4664054773748
True,0.0041928721174004195,True,27,167.54176915408328,0.08280177814338616,306.0498784761876,393.51499899445724
True,0.003663003663003663,True,27,1264.8382589686662,0.08373603690046114,340.64761199988425,477.913336828351
True,0.021671826625386997,True,27,350.04172399640083,0.0844295621902476,377.5486851421495,453.9646309800446
True,0.0,True,27,167.92290355078876,0.08349915405580624,393.3960155118257,631.1298109746227
True,0.009107468123861567,True,27,45.21989384948304,0.0840098132398908,343.13505415671636,480.70748783648014
True,0.0,True,27,2045.2695898711681,0.08325722378044446,316.4514109957963,392.0980606538554
True,0.0,True,27,267.319077742286,0.08434891164661817,514.6374257165007,656.6499883774668
True,0.005067567567567568,True,27,485.91681994730607,0.08410367418876409,443.911799043417,548.6378945061006
True,0.013445378151260505,True,27,653.273121919483,0.08512571001005746,592.664795985911,594.2163320141844
True,0.0,True,27,92.59779954498465,0.08352021105867558,574.3294755229726,675.6957449639837
True,0.0,True,27,1314.0311480965465,0.08443235721641244,418.14902699552476,498.2531716115773
True,0.01517706576728499,True,27,1340.1996449101716,0.08335059114496894,403.5306058358401,640.0678880357494
True,0.024344569288389514,True,27,163.96238900219592,0.0844941838994534,312.3495397157967,377.4424240303536
True,0.0,True,27,134.4783191161696,0.08396002933742627,457.93786738067865,569.7954624774866
True,0.0,True,27,796.2462329305708,0.08175709639741871,322.32103842709745,528.7251272820868
True,0.012437810945273632,True,27,341.58949643772627,0.08383242441567265,255.57946556040812,435.28763079084456
True,0.01559792027729636,True,27,1902.3319550324231,0.0835260677000791,371.79066547347855,550.63135700766
True,0.0,True,27,364.03618031181395,0.08283356464027188,396.21166267897934,577.2420775028877
True,0.0,True,27,399.21402619220316,0.0832238632211321,284.84151914017275,438.8572511728853
True,0.0,True,27,179.99074959661812,0.08290599602096475,279.67744087800384,449.0536170080304
True,0.016224188790560472,True,27,1609.8896148614585,0.08504676546379954,584.860322996974,624.0066157770343
True,0.014900662251655629,True,27,252.90627276990563,0.08256514777944975,408.897546857285,471.2647448293865
True,0.003937007874015748,True,27,4718.9965532161295,0.08298620895646437,455.97666320391,763.5874493668476
True,0.008741258741258742,True,27,443.2840529480018,0.08499373591989365,480.9291713871062,572.8468002052978
True,0.003472222222222222,True,27,1328.1541531905532,0.08517037699892648,559.2292577493936,660.5040776388099
True,0.008992805755395683,True,27,6712.085234001279,0.08280495246426708,463.02600679919124,735.8083142898977
True,0.0,True,27,754.7020534984767,0.08495425335781792,397.8458358518158,515.392913017422
True,0.0,True,27,2974.3307430762798,0.08354016267933419,569.4286822690628,677.195220021531
True,0.0,True,27,130.07079735821623,0.08412792735691271,419.4426206406206,600.6180952535942
True,0.0,True,27,245.0371442310926,0.08316793981924774,245.54861199576408,380.8189866443475
True,0.008385744234800839,True,27,5140.792187070474,0.08231122908549007,389.700913336128,849.1179165430367
True,0.005988023952095809,True,27,1065.7410699641332,0.08432168732646904,354.79524013187205,516.607211495284
True,0.008680555555555556,True,27,2883.5636069998145,0.08359047454013338,485.63204859383404,604.8995857127011
True,0.0,True,27,236.24691041186452,0.08417102824054973,424.4112651795149,593.9639310236089
True,0.0,True,27,140.54922490882186,0.08407281935313178,485.51871282979846,521.6752692358568
True,0.022071307300509338,True,27,789.684814051725,0.0840248576792278,478.61582241021097,679.2303879434863
True,0.0,True,27,932.2237324668095,0.08365064130686775,405.5569734967624,532.108184765093
True,0.0,True,27,173.08639684536806,0.08350023190497646,585.6206464814022,525.6831287406385
True,0.01732283464566929,True,27,3907.6198399998248,0.08609131107575047,329.4167768742357,382.807269343175
True,0.022058823529411766,True,27,561.4714527619071,0.08385899812828071,344.1654144054545,401.85048850253224
True,0.0,True,27,171.72902025049552,0.08488317471042059,473.29142917878926,563.4792499477044
True,0.020446096654275093,True,27,409.60425150115043,0.08351543308470204,357.3903645654874,586.2011520075612
True,0.01764705882352941,True,27,2167.6170059945434,0.08285317188394402,586.3214505370706,936.2019280670211
True,0.0037105751391465678,True,27,1625.081789912656,0.08385517574127649,497.5964417681098,689.1012880175064
True,0.01717557251908397,True,27,1120.8609560271725,0.08218527237780705,321.6555373011423,514.5461090141907
True,0.021937842778793418,True,27,145.20783386459308,0.08527787592126312,491.3817076012492,689.1999472863972
True,0.017892644135188866,True,27,2174.3887800257653,0.0833436731671735,373.6294910001258,700.1423480299612
