brutOK,tH,tDW,err,tDC,tBB,n,errH
True,0.0822556964433888,135.42633627851805,True,209.2804289211265,720.627682361131,27,0.005698005698005698
True,0.08277592332556287,222.4354407199743,True,269.79683955303494,745.8325814222917,27,0.0058309037900874635
True,0.08314251534579119,204.1917989263311,True,376.4466638288771,1927.8386500664055,27,0.0051813471502590676
True,0.08218941085271779,186.70214970524495,True,285.1221161254216,849.7784935170785,27,0.005952380952380952
True,0.08277728993896012,242.54955891519785,True,292.415442498168,1295.5031560268253,27,0.010135135135135136
True,0.08324705688899887,182.13630361983982,True,214.0931553757665,2223.1709479819983,27,0.0061162079510703364
True,0.082018695564025,181.8909576126876,True,266.3880455462883,924.5524274883792,27,0.0
True,0.08160168252578982,160.9384744738539,True,219.7443869134242,417.31857950799167,27,0.0
True,0.08208819346605649,174.68414764984377,True,278.2901322643738,362.08787449868396,27,0.00909090909090909
True,0.08275964357713972,139.31386430254756,True,227.01760500203818,1306.9656288716942,27,0.0029850746268656717
True,0.08175341468868834,255.64758233829505,True,222.3258249207654,2859.257383039221,27,0.0035714285714285713
True,0.0829783129170501,183.03127499082342,True,223.9090538033369,549.6800266361485,27,0.0
True,0.08301831367686474,171.65057592293513,True,208.88031909072942,685.9106967070451,27,0.0033222591362126247
True,0.08254781121158071,149.86775450233836,True,308.190090872813,44.62161784708176,27,0.0
True,0.08197514778069034,160.81900259790322,True,237.2355303959921,82.0568719257911,27,0.0
True,0.08251375198411713,190.76552815162216,True,240.5604476109147,1053.0260294908658,27,0.0
True,0.08270868814173424,136.38848383238334,True,235.601447802037,2612.5756760593504,27,0.0
True,0.08213240431189983,176.0678521324215,True,231.44174658227712,1533.6007601581514,27,0.018276762402088774
True,0.08330915142498017,171.19737285455423,True,265.2090316793571,258.7246509889762,27,0.0
True,0.08317345320636171,164.6836810745299,True,249.8292617034167,819.9580230284482,27,0.0027397260273972603
True,0.08202340903570297,289.62746061733924,True,291.5945327549707,1339.2294370569289,27,0.0
True,0.08378193049151925,172.9501039288672,True,256.4944016695436,1658.8829781394452,27,0.0
True,0.08357504630118488,174.16509615057814,True,268.97666900832616,1853.3682089764625,27,0.002680965147453083
True,0.08253230714471307,153.14340437180363,True,253.83577643272776,581.1106726371994,27,0.008928571428571428
True,0.081576297925635,268.8552571150164,True,371.1736459905903,3509.931051870808,27,0.00872093023255814
True,0.08216344490958241,238.5953051969409,True,268.6071874470347,7951.568086165935,27,0.007220216606498195
True,0.08250754895644913,237.15284790378064,True,355.59520255109027,2192.5490042194724,27,0.005277044854881266
True,0.08268234855879782,146.06927970752997,True,214.90444928746334,3374.8116679489613,27,0.0125
True,0.08257535350510965,161.57788320754966,True,218.31194846890867,434.50343603035435,27,0.0
True,0.08329692165634266,149.31902612443082,True,231.87842518091202,487.3341777129099,27,0.009375
True,0.08285987933474528,276.62690734076835,True,434.27305999211967,2641.687841853127,27,0.0
True,0.08230989250242504,244.98428909573704,True,314.06222357015525,2702.306818915531,27,0.0
True,0.0820859721555655,234.96554598677903,True,348.62797813756123,5056.813049130142,27,0.0
True,0.0816832223865579,245.55642111226916,True,306.096714863088,2602.903754916042,27,0.0035842293906810036
True,0.08094504891007663,220.51872317255896,True,255.2110166806314,1664.7170900832862,27,0.0
True,0.08327764636374366,202.7555804233998,True,255.48069013489615,1166.7212195461616,27,0.0
True,0.08282515347175683,190.24326908402145,True,292.0884292398114,375.25237002409995,27,0.0125
True,0.08266136783785054,260.1752987700618,True,430.5668896064162,210.64556486505484,27,0.002785515320334262
True,0.08176302143142535,186.4389578381983,True,288.4715047257487,221.20027300635618,27,0.0
True,0.08090698065511577,256.6461479032619,True,284.65292739565484,2209.5814559143037,27,0.0
True,0.08169329139888605,197.4486718342329,True,236.79268609266728,1823.1916991062462,27,0.0
True,0.08309827664074783,188.72998778421717,True,290.09971575578675,1745.9679709281772,27,0.0
True,0.0839178633325864,115.09735891151995,True,179.35344370870064,480.8739760192111,27,0.011152416356877323
True,0.0827573930466719,200.21457065983364,True,362.8655095041419,172.36926958763175,27,0.014962593516209476
True,0.08322271739371222,188.94126823243613,True,288.2587563653942,804.0262470021844,27,0.005934718100890208
True,0.08333335892086847,136.25331777924052,True,192.41817033616826,213.32678610148528,27,0.0
True,0.08365914182077042,207.6741411583498,True,308.75418536015786,351.21490196324885,27,0.006269592476489028
True,0.08356257366566279,158.70593573587635,True,217.7068914540789,2000.1220158301294,27,0.013368983957219251
True,0.08308555674983592,138.91356153523222,True,216.1437001036988,63.875636650034444,27,0.0
True,0.08200195432705527,210.72926262224263,True,289.7965516312979,574.9447806738317,27,0.0
True,0.08170445499681014,267.1788856645839,True,437.04670700244606,212.01626426773146,27,0.0
True,0.08050239686468605,154.55805118835997,True,170.66997071794634,420.1710172346793,27,0.003861003861003861
True,0.08252462267914311,173.87356178369373,True,311.5609286178369,123.13681887462735,27,0.0
True,0.08186011135275732,225.39271164516157,True,293.21289737708867,1963.3879261091352,27,0.0
True,0.08248792936567681,252.35291466944747,True,291.88998948666267,337.98215398564935,27,0.0
True,0.08309376498175243,327.07284700258504,True,310.45831213123165,1514.8531298618764,27,0.014184397163120567
True,0.08302753591821323,160.360921608905,True,228.69621848221868,338.30669801682234,27,0.0
True,0.0823146501978052,186.73941822579275,True,367.7881675151487,141.80116371717304,27,0.0
True,0.08170616084979314,150.2150188171072,True,232.84447300247848,1044.168294989504,27,0.0
True,0.08166062155989146,317.7948341638382,True,380.31488765651983,891.1704969359562,27,0.0
True,0.08348909601468453,214.27659946493804,True,290.4197206371464,253.83549178950489,27,0.012048192771084338
True,0.08288845971922067,322.7403459937445,True,370.9113070120414,1339.719854062423,27,0.012084592145015106
True,0.08237094145162291,164.18030213875076,True,253.59126933229464,202.13212263770401,27,0.0
True,0.0830275408244574,168.90911849415195,True,201.7566844006069,1263.9369848184288,27,0.012422360248447204
True,0.08323743251537255,260.7778896474176,True,508.31346452469006,44.81503193696531,27,0.0
True,0.08193600082642997,250.1288251020014,True,324.6455665877355,3621.989528182894,27,0.0
True,0.08329570858125947,205.85102875096104,True,347.52890540819084,1853.0711887869984,27,0.0
True,0.08297244512696604,197.1063714978906,True,260.0376145500276,396.86476852511987,27,0.018633540372670808
True,0.0831808804597001,232.38441271241754,True,292.6734837528784,206.1453031169044,27,0.009771986970684038
True,0.08223258287241471,220.49713699909097,True,367.12613616449136,811.930957948789,27,0.0
True,0.08301363410199894,186.35085846584005,True,182.68684383768303,250.56182084205957,27,0.0
True,0.08100593477802155,224.58379736847496,True,258.2905813275526,3599.8566849157214,27,0.003389830508474576
True,0.082402960333189,132.76547378498233,True,188.94065884300147,75.83982159849256,27,0.0
True,0.08302460389881672,160.35846372445425,True,237.4713445082307,829.3875410454348,27,0.0165016501650165
True,0.08283900262527592,160.8448018009464,True,220.33927464773032,576.655899019291,27,0.0
True,0.08233104014778109,176.95664521306753,True,351.5892722643912,257.81554414425045,27,0.0
