n,tDW,tDC,tBB,brutOK,err,tH,errH
27,142.55965817445778,18357.511344132945,2141.8217190075666,True,True,0.08298082482454794,0.0029638943775821807
27,125.11196059640497,14673.80571598187,402.28718761354685,True,True,0.0827915589537383,0.007839324866586688
27,258.53347842995487,27220.10792302899,369.4265604717657,True,True,0.08165728118953275,0.0
27,274.50898933845264,27630.855662049726,2256.7393120843917,True,True,0.08150180827528845,0.014367816091954023
27,334.68301002202287,25342.229946050793,1577.5088930968195,True,True,0.08064201108591931,0.0
27,243.9477328909561,25515.32054808922,3508.6567290127277,True,True,0.08069760363161448,0.014977533699450823
27,217.95643355951393,23819.445668021217,661.3430939614773,True,True,0.08089438794954686,0.005772706428205336
27,151.35744400322437,23093.182615935802,34.63489869284595,True,True,0.08228572312846173,0.003948570972235778
27,174.07624634714531,21117.884004022926,283.6820365794535,True,True,0.08057920726502857,0.01196486493731626
27,256.51473702035014,25866.505190962926,623.0401514330879,True,True,0.08148358607988458,0.0338118120584853
27,196.79431533828998,23368.310104124248,68.75523314478674,True,True,0.08034398863821565,0.0
27,170.04374427986997,22588.24054687284,577.0155113035192,True,True,0.08056382464355649,0.015198267096945316
27,198.69619582702094,21712.70383405499,871.8788694823161,True,True,0.08084662085360268,0.009078226208271051
27,136.67871850904905,17853.68209797889,956.6008360125124,True,True,0.08054625486818517,0.020083843468804267
27,148.5567758063553,19844.343022909015,910.6355244293809,True,True,0.0807311392123162,0.0037632266347899235
27,122.29980385163799,18353.7854780443,255.18415511275333,True,True,0.08198924143000594,0.006586262937302198
27,245.74558299500495,23216.793339001015,1427.1335150115192,True,True,0.08094311729989578,0.005355048358874767
27,149.81999756128062,18746.481385082006,524.5145853453627,True,True,0.0812009210158296,0.01917883714521907
27,174.2724154942802,22639.18111892417,837.8190600778908,True,True,0.08177849813990179,0.015949256928638373
27,232.0721642114222,22905.868391972035,1274.9022210482508,True,True,0.08024124961833946,0.0
27,249.2520753061399,22160.44559306465,1956.4285790547729,True,True,0.08083267426600621,0.022330030278007156
